"Family","Scientific Name","Common Name","Category","Height","Width","Est Root Vol.","Surface Area (m2)","Field Size Index","Shape/Habit","Est. Crown Clearance (m)","Natural Form","Est. Lifespan (years)","Growth rate","Shade Density","Deciduous","Leaf/Fruit drop","Aspect","Powerlines","Drought","Wind","Salt","Water Req.","Drainage","Soil Types","Root Vigour","Uses","Appeal/Value","Weed Risk","Commercially Available"
"PROTEACEAE","Macadamia","Bauple","Australian",18,6,74,123,153,"Upright/Vertical","1.5-3m","Vertical/Upright","25-50years","Moderate","High","No","Moderate","Full","No","Low","Moderate","Low","Moderate","Well","Sand,","Moderate","Residential,","Fruit,","Low","Yes"
"PROTEACEAE","Macadamia","Macadamia","Australian",10,6,17,28,40,"Oval,Round","<1.5m","Bush",">50","Moderate","Medium","No","Moderate","Full","No","High","Moderate","Low","Moderate","Well","Sand,Loam","Moderate","Residential,Parks","Flowers,Attracts","Low","No"
"MAGNOLIACEAE","Magnolia","Golden","Exotic",10,6,17,28,40,"Oval,Round","<1.5m","Bush",">50","Fast","Medium","No","Moderate","Full","No","Low","Low","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Attracts","Low","No"
"MAGNOLIACEAE","Magnolia","White","Exotic",8,4,8,13,26,"Oval","<1.5m","Bush",">50","Fast","Medium","No","Moderate","Full","No","Low","Low","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Attracts","Low","Yes"
"MAGNOLIACEAE","Magnolia","Chinese","Exotic",6,3,4,7,9,"Oval","<1.5m","Bush",">50","Moderate","Medium","No","Low","Full","No","Moderate","Moderate","Low","Moderate","Moderate,Well","Loam","Minor","Residential,Park","Flowers,Attracts","Low","No"
"MAGNOLIACEAE","Magnolia","Chinese","Exotic",5,3,4,7,6,"Round","<1.5m","Bush","25-50","Moderate","Low","No","Low","Full","Yes-Under","Moderate","Low","Low","Moderate","Moderate,Well","Loam","Minor","Residential,Park","Flowers,Attracts","Low","Yes"
"MAGNOLIACEAE","Magnolia","Chinese","Exotic",4,3,4,7,4,"Round","<1.5m","Bush","25-50","Moderate","Low","No","Low","Full","Yes-Under","Moderate","Moderate","Low","Moderate","Moderate,Well","Loam","Minor","Residential,Park","Flowers,Attracts","Low","Yes"
"MAGNOLIACEAE","Magnolia","Port","Exotic",4,3,4,7,4,"Round","<1.5m","Bush",">50","Moderate","Low","No","Low","Full","Yes-Under","Moderate","Low","Low","Moderate","Moderate,Well","Loam","Minor","Residential,Park","Flowers,Attracts","Low","Yes"
"MAGNOLIACEAE","Magnolia","Bull","Exotic",25,15,106,177,225,"Upright/Vertical,Broad-domed","1.5-3m","Umbrella-shaped,Vertical/Upright",">50","Slow","High","No","Moderate","Full","No","Moderate","Moderate","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Parks","Flowers","Low","Yes"
"MAGNOLIACEAE","Magnolia","Bull","Exotic",12,6,17,28,58,"Round","1.5-3m","Lateral",">50","Moderate","Medium","No","Moderate","Full","No","Low","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Parks","Flowers,Foliage,Attracts","Low","Yes"
"MAGNOLIACEAE","Magnolia","Bull","Exotic",8,4,8,13,26,"Oval","<1.5m","Bush",">50","Moderate","Medium","No","Moderate","Full","No","Low","Moderate","Moderate","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"MAGNOLIACEAE","Magnolia","Bull","Exotic",3,2,2,3,2,"Fastigiate","<1.5m","Low","25-50","Slow","Low","No","Moderate","Full","Yes","Moderate","Moderate","Low","Moderate","Well","Loam,Clay","Minor","Residential","Flowers,Foliage","Low","Yes"
"MAGNOLIACEAE","Magnolia","Bull","Exotic",3,2,2,3,2,"Conical","<1.5m","Low","25-50","Slow","Low","No","Moderate","Full","Yes","Moderate","Moderate","Low","Moderate","Well","Loam,Clay","Minor","Residential","Flowers,Foliage","Low","Yes"
"MAGNOLIACEAE","Magnolia","Bull","Exotic",4,3,4,7,3,"Oval,Fastigiate","<1.5m","Low","25-50","Slow","Low","No","Moderate","Full","Yes-Pruned","Moderate","Moderate","Low","Moderate","Well","Loam,Clay","Minor","Residential","Flowers,Foliage","Low","Yes"
"MAGNOLIACEAE","Magnolia","Red","Exotic",12,6,17,28,58,"Oval","1.5-3m","Bush","25-50","Slow","Medium","No","Low","Full","No","Low","Low","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","Residentisal,Parks","Flowers,Attracts","Low","Yes"
"MAGNOLIACEAE","Magnolia","Sweet","Exotic",6,4,8,13,9,"Round","<1.5m","Bush",">50","Moderate","Dense","No","Low","Full","No","Low","Low","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Attracts","Low","Yes"
